Names	wAge	hAge	wHeight	hHeight
John and Janet	57	64	1620	1660
Ken and Julie	33	34	1410	1681
Larry and Mary	38	37	1560	1803
Charles and Linda	59	54	1590	1866
James and Susan	46	49	1710	1884
Robert and Sarah	60	63	1580	1705
Steven and Sue	47	48	1690	1780
Walter and Edith	55	64	1610	1801
Robert and Joan	45	33	1660	1795
Stephen and Peggy	47	52	1610	1669
Martin and Beth	24	27	1590	1708
Allen and Janice	32	33	1530	1691
Christopher and Alice	47	46	1690	1825
Dennis and Eleanor	57	54	1600	1760
Fred and Geraldine	*	27	1693	1949
Jack and Dorothy	*	50	1580	1685
John and Nancy	*	42	1636	1806
Michael and Ruth	46	54	1670	1905
Richard and Peggy	42	49	1600	1739
Stan and Ruth	63	62	1570	1736
Jason and Margaret	32	34	1700	1845
Mark and Judy	24	23	1740	1868
Gerald and Mary	32	36	1540	1765
Norman and Rebecca	*	53	1555	1736
David and Katherine	*	32	1614	1741
Daniel and Kathleen	56	59	1530	1720
James and Betty	50	53	1690	1871
Tom and Elaine	55	55	1590	1720
Donald and Hilary	58	62	1610	1629
Edward and Phyllis	38	42	1670	1624
Robert and Sharon	44	50	1690	1653
Greg and Barbara	35	37	1550	1786
Greg and Jackie	44	51	1650	1620
Michael and Julia	25	25	1540	1695
Roger and Anne	43	54	1660	1674
Albert and Molly	31	34	1620	1864
Thomas and Carol	35	43	1630	1643
Peter and Lily	41	43	1610	1705
Edward and Sally	50	58	1540	1736
Daniel and Sarah	23	28	1610	1691
John and Patricia	43	45	1630	1753
Jeff and Pearl	49	47	1530	1680
Michael and Robin	59	57	1520	1724
Stephen and Cheryl	*	27	1544	1710
Douglas and Carol	38	34	1570	1638
Gregg and Laura	42	57	1580	1725
Harvey and Mary	21	27	1550	1725
Patrick and Kelly	*	54	1570	1630
Peter and Sarah	*	24	1521	1810
Christopher and Tracy	42	48	1580	1774
Dan and Diane	35	37	1630	1771
Fred and Kim	26	25	1650	1815
William and Jill	57	57	1640	1575
Jason and Debbie	34	40	1650	1729
Alan and Catherine	63	61	1520	1749
Richard and Anne	23	25	1620	1705
Charles and Connie	*	32	1744	1875
Harold and Grace	*	37	1647	1784
James and Wendy	*	45	1615	1584
William and Rebecca	23	24	1680	1774
Howard and Suzanne	46	47	1670	1658
Jeff and Katherine	40	44	1620	1790
Howard and Gayle	53	52	1570	1798
Fred and Joy	40	45	1660	1824
Jeff and Linda	22	20	1550	1796
David and Julie	60	60	1590	1725
John and Debra	32	36	1620	1685
Thomas and Stacey	24	25	1560	1769
Dwight and Melisa	28	25	1670	1749
Robert and Janet	40	35	1650	1716
John and Tammy	*	35	1539	1664
Ralph and Cathy	48	49	1470	1773
Roger and Kristen	33	33	1580	1760
Michael and Clara	49	50	1670	1725
Donald and Judy	64	63	1520	1645
William and Joan	55	57	1620	1694
Brett and Elizabeth	41	41	1710	1851
Mark and Patricia	38	38	1530	1691
Brian and Elizabeth	31	30	1630	1880
William and Mary	52	52	1720	1835
John and Sally	43	51	1570	1730
Martin and Laura	51	46	1560	1644
Gary and Marion	47	50	1650	1723
Neil and Penny	*	32	1635	1758
Sherman and Miriam	32	52	1590	1718
Michael and Lois	33	30	1590	1723
Roland and Linda	*	33	1566	1708
Philip and Julie	18	20	1590	1786
Timothy and Mary	*	32	1662	1764
John and Janet	45	51	1550	1675
Kenneth and Leslie	64	64	1570	1641
Martin and Patricia	43	44	1560	1743
Glenn and Shirley	39	40	1630	1823
George and Gayle	56	59	1530	1720
